DAY;N10D;GPRD;GPRD_ACT;GPRD_THREAT;date;GPRD_MA30;GPRD_MA7;event;var_name;var_label
19850101;216;230,04;275,20;153,03;01/01/1985;230,04;230,04;;DAY;DAY
19850102;315;115,68;146,77;87,44;02/01/1985;172,86;172,86;;N10D;Number of articles (10 recent newspapers, 1985-)
19850103;374;97,43;158,94;29,46;03/01/1985;147,71;147,71;;GPRD;Daily GPR (Index: 1985:2019=100)
19850104;421;157,37;156,88;157,03;04/01/1985;150,13;150,13;;GPRD_ACT;Daily GPR Acts (Index: 1985:2019=100)
19850105;285;81,36;92,70;77,32;05/01/1985;136,37;136,37;;GPRD_THREAT;Daily GPR Threats (Index: 1985:2019=100)
19850106;396;167,30;166,79;208,67;06/01/1985;141,53;141,53;;date;Date
19850107;346;105,31;57,27;143,30;07/01/1985;136,36;136,36;;GPRD_MA30;30 day moving average of Daily GPR
19850108;379;87,40;34,85;130,82;08/01/1985;130,24;115,98;;GPRD_MA7;7 day moving average of Daily GPR
19850109;382;121,40;103,74;129,79;09/01/1985;129,25;116,80;;event;Major event label
19850110;424;140,63;77,89;181,90;10/01/1985;130,39;122,97;;;
19850111;454;94,85;130,93;72,81;11/01/1985;127,16;114,04;;;
19850112;312;95,55;42,34;123,60;12/01/1985;124,53;116,07;;;
19850113;397;91,78;16,64;138,77;13/01/1985;122,01;105,28;;;
19850114;360;211,64;183,47;229,54;14/01/1985;128,41;120,47;;;
19850115;375;97,17;105,68;102,83;15/01/1985;126,33;121,86;;;
19850116;405;106,33;114,16;95,22;16/01/1985;125,08;119,71;;;
19850117;424;54,69;62,31;38,98;17/01/1985;120,94;107,43;;;
19850118;417;111,21;63,35;132,11;18/01/1985;120,40;109,77;;;
19850119;321;51,60;41,15;68,65;19/01/1985;116,78;103,49;;;
19850120;383;77,84;68,98;86,30;20/01/1985;114,83;101,50;;;
19850121;359;138,41;183,98;76,73;21/01/1985;115,95;91,04;;;
19850122;320;51,76;61,92;34,43;22/01/1985;113,03;84,55;;;
19850123;398;124,85;82,97;138,42;23/01/1985;113,55;87,19;;;
19850124;396;83,65;50,04;97,38;24/01/1985;112,30;91,33;;;
19850125;472;70,18;13,99;105,04;25/01/1985;110,62;85,47;;;
19850126;306;54,13;43,17;72,01;26/01/1985;108,44;85,83;;;
19850127;416;63,70;47,63;66,21;27/01/1985;106,79;83,81;;;
19850128;359;101,50;36,80;138,11;28/01/1985;106,60;78,54;;;
19850129;345;76,81;114,87;47,90;29/01/1985;105,57;82,12;;;
19850130;410;16,16;0,00;26,87;30/01/1985;102,59;66,59;;;
19850131;416;111,48;111,14;119,19;31/01/1985;98,64;70,57;;;
19850201;435;106,61;106,28;88,65;01/02/1985;98,34;75,77;;;
19850202;333;119,37;99,17;132,35;02/02/1985;99,07;85,09;;;
19850203;443;112,16;104,36;124,36;03/02/1985;97,56;92,01;;;
19850204;371;80,36;89,01;89,09;04/02/1985;97,53;88,99;;;
19850205;322;174,89;123,07;239,52;05/02/1985;97,78;103,00;;;
19850206;400;124,22;49,54;165,27;06/02/1985;98,41;118,44;;;
19850207;430;130,96;76,80;153,74;07/02/1985;99,86;121,23;;;
19850208;448;147,88;103,20;172,16;08/02/1985;100,75;127,12;;;
19850209;321;123,83;144,03;120,13;09/02/1985;100,19;127,76;;;
19850210;445;133,99;89,05;185,70;10/02/1985;101,49;130,88;;;
19850211;357;139,18;111,00;154,31;11/02/1985;102,95;139,28;;;
19850212;366;153,86;126,32;150,52;12/02/1985;105,01;136,28;;;
19850213;423;109,64;140,53;78,14;13/02/1985;101,61;134,19;;;
19850214;413;80,21;63,97;80,03;14/02/1985;101,05;126,94;;;
19850215;434;83,96;60,87;88,85;15/02/1985;100,30;117,81;;;
19850216;315;63,10;62,90;52,47;16/02/1985;100,58;109,13;;;
19850217;388;68,30;51,07;70,99;17/02/1985;99,15;99,75;;;
19850218;283;128,76;163,37;77,87;18/02/1985;101,73;98,26;;;
19850219;364;100,11;72,58;136,21;19/02/1985;102,47;90,58;;;
19850220;359;64,59;36,80;92,07;20/02/1985;100,01;84,15;;;
19850221;387;85,60;102,40;56,94;21/02/1985;101,13;84,91;;;
19850222;441;157,74;104,84;174,89;22/02/1985;102,23;95,46;;;
19850223;314;200,44;126,21;228,08;23/02/1985;106,12;115,08;;;
19850224;434;91,59;76,09;114,24;24/02/1985;106,84;118,40;;;
19850225;397;100,13;99,82;97,14;25/02/1985;108,37;114,31;;;
19850226;344;125,18;115,20;112,10;26/02/1985;110,42;117,90;;;
19850227;439;120,73;75,22;150,59;27/02/1985;111,06;125,92;;;
19850228;412;144,72;144,28;133,71;28/02/1985;113,33;134,36;;;
19850301;452;146,57;131,51;134,07;01/03/1985;117,67;132,77;;;
19850302;288;149,53;68,80;191,28;02/03/1985;118,94;125,49;;;
19850303;426;77,76;15,50;116,39;03/03/1985;117,98;123,52;;;
19850304;401;82,61;115,29;68,69;04/03/1985;116,75;121,02;;;
19850305;386;137,31;102,66;171,26;05/03/1985;117,59;122,75;;;
19850306;407;179,06;178,51;148,89;06/03/1985;120,88;131,08;;;
19850307;425;132,50;108,78;129,62;07/03/1985;119,47;129,33;;;
19850308;433;91,80;106,77;63,61;08/03/1985;118,39;121,51;;;
19850309;294;90,14;67,40;112,43;09/03/1985;117,03;113,03;;;
19850310;444;119,37;104,13;124,08;10/03/1985;116,08;118,97;;;
19850311;383;129,74;155,20;115,07;11/03/1985;116,27;125,70;;;
19850312;384;232,91;344,00;143,46;12/03/1985;119,57;139,36;;;
19850313;434;183,18;228,27;177,71;13/03/1985;121,04;139,95;;;
19850314;448;177,46;221,14;122,97;14/03/1985;121,82;146,37;;;
19850315;431;138,34;76,62;191,73;15/03/1985;122,78;153,02;;;
19850316;306;194,86;107,92;252,05;16/03/1985;126,60;167,98;;;
19850317;466;42,65;28,35;47,29;17/03/1985;125,23;157,02;;;
19850318;373;124,33;123,95;132,93;18/03/1985;127,27;156,25;;;
19850319;381;139,11;138,68;144,59;19/03/1985;129,63;142,85;;;
19850320;462;136,23;128,66;143,09;20/03/1985;129,88;136,14;;;
19850321;419;118,59;110,34;157,78;21/03/1985;130,49;127,73;;;
19850322;419;102,78;110,34;78,89;22/03/1985;131,77;122,65;;;
19850323;302;98,72;109,35;91,21;23/03/1985;132,20;108,92;;;
19850324;166;79,82;39,79;132,75;24/03/1985;129,61;114,23;;;
19850325;438;75,63;120,63;37,73;25/03/1985;125,45;107,27;;;
19850326;382;95,39;103,74;72,11;26/03/1985;125,57;101,02;;;
19850327;463;135,94;71,33;166,58;27/03/1985;126,77;100,98;;;
