feature,importance_rf,importance_xgb,importance_mean,group,notebook
ovx_lag1,0.15501284609856805,0.04285906,0.09893595246286492,mercado,07_classification
ovx_high_dummy,0.06979017600246573,0.08092604,0.07535810716364932,mercado,07_classification
vol20_lag1,0.09188724178841362,0.01546712,0.05367718106145983,mercado,07_classification
goldstein_x_ovx,0.08121333458036022,0.017404227,0.04930878058329143,interaccion,07_classification
vol10_lag1,0.08113118639854942,0.016788116,0.048959651061735325,mercado,07_classification
dxy_lag3,0.04056847178391164,0.018477201,0.029522836622851815,vix_dxy,07_classification
dxy_rolling5,0.03733141324843836,0.02029194,0.028811676313111545,vix_dxy,07_classification
dxy_rolling10,0.03776110634190642,0.018574657,0.028167881630275664,vix_dxy,07_classification
dxy_lag1,0.039256596932395985,0.0155707,0.027413648550502802,vix_dxy,07_classification
vix_lag3,0.024301492447850858,0.016907165,0.020604328637420018,vix_dxy,07_classification
vix_rolling10,0.02348504959763917,0.015392235,0.01943864207328276,vix_dxy,07_classification
vol5_lag1,0.023091916803222236,0.01424981,0.018670863410433797,mercado,07_classification
vix_rolling5,0.02248097890273827,0.014463172,0.01847207559846887,vix_dxy,07_classification
vix_lag1,0.021361665504464278,0.015494059,0.018427862172220533,vix_dxy,07_classification
vol_high,0.03252686444784494,0.0,0.01626343222392247,mercado,07_classification
gpr_x_vix,0.014902225793903498,0.015010177,0.014956201475861384,interaccion,07_classification
event_count_rolling7,0.011997261528380548,0.016837826,0.014417543763522226,gdelt,07_classification
avg_tone_rolling5,0.011440545399798567,0.016027568,0.013734056653983202,gdelt,07_classification
return_lag1,0.010800921537085138,0.016361622,0.013581271838448327,mercado,07_classification
high_vix_days_last5,0.010291768014582635,0.01556027,0.012926019150839567,vix_dxy,07_classification
vix_x_event_count,0.012629997364502061,0.013210222,0.012920109744777733,interaccion,07_classification
tone_x_volume,0.009722799423542094,0.0151383765,0.012430587963862455,interaccion,07_classification
spread_lag1,0.009351865888016913,0.014501012,0.011926438909211502,mercado,07_classification
abs_return_lag3,0.00762269246717256,0.016203498,0.01191309546748778,mercado,07_classification
avg_tone_lag1,0.007395923922469002,0.01578888,0.01159240158399432,gdelt,07_classification
event_count_lag1,0.007512833366506542,0.014872259,0.011192546413448079,gdelt,07_classification
mentions_rolling5,0.007328980906570559,0.014870107,0.011099544040245119,gdelt,07_classification
stress_days_last5,0.01084771918961712,0.011166577,0.011007148208515387,mercado,07_classification
ovx_change_lag1,0.007445973453519821,0.014271422,0.010858697871415853,mercado,07_classification
delta_dxy_lag1,0.0041792488029655855,0.017027518,0.010603383291813585,vix_dxy,07_classification
event_count_lag5,0.004766284266860167,0.015257446,0.010011865181103786,gdelt,07_classification
ovx_change_lag3,0.005433221203168422,0.014544136,0.009988678547034755,mercado,07_classification
return_lag3,0.005214361411298012,0.014754411,0.009984386122209178,mercado,07_classification
abs_return_lag1,0.005414487291943566,0.014548457,0.009981472259795435,mercado,07_classification
chokepoint_lag1,0.0007977278535754934,0.018861428,0.009829577878375424,gdelt,07_classification
delta_vix_lag3,0.004570301939551556,0.014947402,0.009758852115275723,vix_dxy,07_classification
gpr_rolling10,0.0038285906534523285,0.015490872,0.00965973125378939,gpr,07_classification
return_lag5,0.003445374352638227,0.01452381,0.008984592064174166,mercado,07_classification
delta_dxy_lag3,0.0024604153158344316,0.01531928,0.008889847821100428,vix_dxy,07_classification
spread_change_lag1,0.003245647536357223,0.014400506,0.00882307696423927,mercado,07_classification
fuerza_lag1,0.0002489990526209668,0.017307559,0.008778279040444413,gdelt,07_classification
conflicto_lag1,0.000713488476276463,0.016535645,0.008624566913545165,gdelt,07_classification
event_count_lag3,0.003969063323606946,0.013181901,0.008575481964583147,gdelt,07_classification
dxy_jump_dummy,0.0,0.01686069,0.008430344983935356,vix_dxy,07_classification
delta_vix_lag1,0.0015420860235681576,0.014850526,0.008196306070178273,vix_dxy,07_classification
event_count_rolling3,0.0030315309419433286,0.013339773,0.008185651881208024,gdelt,07_classification
amenaza_lag1,0.00010440538381017964,0.016257005,0.008180705098084995,gdelt,07_classification
dxy_x_extreme_event,0.0012394593186418137,0.014886792,0.008063125568242863,interaccion,07_classification
gpr_change_lag3,0.0024778372216867086,0.013595561,0.008036698893638783,gpr,07_classification
gpr_lag1,0.002440172693172019,0.013442615,0.007941393870134612,gpr,07_classification
acuerdo_lag1,0.0008360446902693214,0.014728347,0.00778219576490824,gdelt,07_classification
gpr_change_lag1,0.002114070420141083,0.013442037,0.007778053557959726,gpr,07_classification
mentions_change_lag1,0.0008991765980642692,0.014410753,0.007654964700575752,gdelt,07_classification
event_count_change_lag1,0.0008325320913622548,0.014017975,0.007425253524593004,gdelt,07_classification
golfo_lag1,0.0005857538212110762,0.014171335,0.007378544368037093,gdelt,07_classification
high_gpr_days_last10,0.001313977769840159,0.012753679,0.007033828593456943,gpr,07_classification
extreme_events_last5,0.0014376670833149163,0.012210458,0.006824062334533463,gdelt,07_classification
diplomatico_lag1,0.001824265738603954,0.011770578,0.006797421919940653,gdelt,07_classification
rusia_lag1,0.00018506842039853587,0.013084056,0.006634562138134391,gdelt,07_classification
goldstein_min_lag1,0.0031222922250342443,0.009441753,0.006282022571549419,gdelt,07_classification
gpr_high_dummy,0.0,0.0098989345,0.00494946725666523,gpr,07_classification
event_count_spike_dummy,0.0,0.007451406,0.0037257031071931124,gdelt,07_classification
strong_dollar_dummy,0.0037021314431868696,0.0,0.0018510657215934348,vix_dxy,07_classification
extreme_event_rolling3,0.001889716611167985,0.0,0.0009448583055839925,gdelt,07_classification
high_vix_dummy,0.0016427508899975315,0.0,0.0008213754449987658,vix_dxy,07_classification
extreme_event_lag1,0.0,0.0,0.0,gdelt,07_classification
mentions_spike_dummy,0.0,0.0,0.0,gdelt,07_classification
