feature,group
return_lag1,mercado
return_lag3,mercado
return_lag5,mercado
abs_return_lag1,mercado
abs_return_lag3,mercado
vol5_lag1,mercado
vol10_lag1,mercado
vol20_lag1,mercado
vol_high,mercado
ovx_lag1,mercado
ovx_change_lag1,mercado
ovx_change_lag3,mercado
ovx_high_dummy,mercado
spread_lag1,mercado
spread_change_lag1,mercado
stress_days_last5,mercado
vix_lag1,vix_dxy
vix_lag3,vix_dxy
delta_vix_lag1,vix_dxy
delta_vix_lag3,vix_dxy
vix_rolling5,vix_dxy
vix_rolling10,vix_dxy
high_vix_dummy,vix_dxy
high_vix_days_last5,vix_dxy
dxy_lag1,vix_dxy
dxy_lag3,vix_dxy
delta_dxy_lag1,vix_dxy
delta_dxy_lag3,vix_dxy
dxy_rolling5,vix_dxy
dxy_rolling10,vix_dxy
strong_dollar_dummy,vix_dxy
dxy_jump_dummy,vix_dxy
event_count_lag1,gdelt
event_count_lag3,gdelt
event_count_lag5,gdelt
event_count_rolling3,gdelt
event_count_rolling7,gdelt
event_count_change_lag1,gdelt
mentions_change_lag1,gdelt
mentions_rolling5,gdelt
event_count_spike_dummy,gdelt
mentions_spike_dummy,gdelt
avg_tone_lag1,gdelt
avg_tone_rolling5,gdelt
goldstein_min_lag1,gdelt
extreme_event_lag1,gdelt
extreme_event_rolling3,gdelt
extreme_events_last5,gdelt
conflicto_lag1,gdelt
fuerza_lag1,gdelt
amenaza_lag1,gdelt
acuerdo_lag1,gdelt
diplomatico_lag1,gdelt
golfo_lag1,gdelt
rusia_lag1,gdelt
chokepoint_lag1,gdelt
gpr_lag1,gpr
gpr_rolling10,gpr
gpr_change_lag1,gpr
gpr_change_lag3,gpr
gpr_high_dummy,gpr
high_gpr_days_last10,gpr
tone_x_volume,interaccion
vix_x_event_count,interaccion
dxy_x_extreme_event,interaccion
gpr_x_vix,interaccion
goldstein_x_ovx,interaccion
