seccion,descripcion,f1,auc
ablation,Solo mercado,0.5703125,0.6214608562169538
ablation,Mercado + VIX/DXY,0.5556246115599751,0.6147054165346848
ablation,Mercado + GDELT,0.5714285714285714,0.6204192149314102
ablation,Mercado + GPR,0.5610932475884244,0.6192496527862382
ablation,Modelo completo,0.5598991172761665,0.6142637849954923
robustez_pct,P70,0.7121791370835608,0.5816317621447946
robustez_pct,P80,0.5706484641638225,0.6144160717331448
robustez_pct,P90,0.3623693379790941,0.6143898455283141
robustez_horizonte,t+1 (base) | Market only,0.5556246115599751,0.6138861138861139
robustez_horizonte,t+1 (base) | Modelo completo,0.5706484641638225,0.6144160717331448
robustez_horizonte,t+3 | Market only,0.5580756013745705,0.5931294315440657
robustez_horizonte,t+3 | Modelo completo,0.5598958333333334,0.5875009137204259
