model,split,mae,rmse,r2,notebook
Persistencia (abs_return_lag1),test,0.014256089693953663,0.019630805080710533,-0.542054562337956,08_regression
Persistencia [TRAIN],train,0.01433995702159609,0.023755829520857287,-0.31856014884825945,08_regression
Media historica (train),test,0.011184649196421153,0.015852511850468477,-0.005587096418692372,08_regression
Ridge (alpha=100.0) market,test,0.011540576897853734,0.015356742457665098,0.056326584159859805,08_regression
Ridge (alpha=100.0) market [TRAIN],train,0.010586929309757355,0.01647029264771704,0.3661854895985035,08_regression
Ridge (alpha=100.0) all,test,0.01209789420710403,0.015673272716017775,0.01702403323893431,08_regression
Ridge (alpha=100.0) all [TRAIN],train,0.010550420230991425,0.016361270356050703,0.37454857267851815,08_regression
RandomForest (md=3) market,test,0.010910009997935665,0.014821525205237406,0.12095863388328665,08_regression
RandomForest (md=3) market [TRAIN],train,0.010548268770077083,0.01702368754867867,0.3228781547145102,08_regression
RandomForest (md=3) all,test,0.010852694762452236,0.014694644563283621,0.1359443977747904,08_regression
RandomForest (md=3) all [TRAIN],train,0.010517932819786479,0.01700961298803039,0.32399733090282545,08_regression
XGBoost (iter=26) market,test,0.011033278502927402,0.015108024097212189,0.08664658574158768,08_regression
XGBoost (iter=26) market [TRAIN],train,0.010347060667879488,0.018342444701025026,0.21390690274419188,08_regression
XGBoost (iter=73) all,test,0.011091585057051961,0.015111078691975675,0.08627721823502921,08_regression
XGBoost (iter=73) all [TRAIN],train,0.009514482667731323,0.01708506476086737,0.31798676194059317,08_regression
